site_name,Cultural Venue Type,latitude,longitude
Horniman Museum and Gardens,Archives,51.44113087,-0.060736392
Illustrated London News Picture Library,Archives,51.46670535,0.006662793
Bible Churchmens Missionary Society,Archives,51.46925434,-0.026960722
Trinity Laban Conservatoire of Music and Dance: Laban Archive,Archives,51.48032533,-0.019007985
Haberdashers' Aske's Federation Trust: Hatcham College,Archives,51.46768411,-0.042722194
Royal Institution of Great Britain,Archives,51.50994668,-0.14255344
Institution of Mechanical Engineers Archive,Archives,51.50120342,-0.129955923
Girlguiding UK,Archives,51.49875796,-0.143008591
The Theatres Trust Resource Centre,Archives,51.51060881,-0.12820152
National Institute of Economic and Social Research,Archives,51.49570564,-0.128063247
Blind Veterans UK,Archives,51.52012515,-0.164755341
Royal Humane Society,Archives,51.51055883,-0.118893777
University of Westminster Archives,Archives,51.51819661,-0.141078952
Royal Academy of Music Library,Archives,51.52349886,-0.151674537
Tate Gallery Archive,Archives,51.49087146,-0.127180936
Royal Commission for the Exhibition of 1851,Archives,51.49874348,-0.177630777
Zoological Society of London,Archives,51.53572042,-0.155706918
Royal Over-Seas League,Archives,51.50631997,-0.140683595
Parliamentary Archives,Archives,51.49984153,-0.124637491
Association of Directors of Adult Social Services,Archives,51.49557688,-0.126757514
French Protestant Church,Archives,51.51580427,-0.133133904
London Library,Archives,51.50734035,-0.136981791
Royal Institute of International Affairs,Archives,51.50778656,-0.136199821
Royal Opera House Collections,Archives,51.51304711,-0.122653705
"RSA (The Royal Society for the Encouragement of Arts, Manufactures and Commerce)",Archives,51.50939707,-0.122717356
Royal Institution of Naval Architects,Archives,51.50743401,-0.125363147
Royal Society,Archives,51.50587456,-0.132459245
Law Society of England and Wales,Archives,51.51495084,-0.111837845
Imperial College Archives and Corporate Records Unit,Archives,51.49886271,-0.174888563
Science Museum Library (Documentation),Archives,51.49832104,-0.178223934
University of the Arts London: Chelsea College of Art and Design,Archives,51.49055367,-0.129232572
National Liberal Club,Archives,51.50604245,-0.123820779
Royal Society of Medicine,Archives,51.51600691,-0.147048706
Radio Centre,Archives,51.51256293,-0.131191151
Chemical Industries Association,Archives,51.49575664,-0.126188277
"London University: London School of Economics, The Women's Library",Archives,51.51483618,-0.11589258
British Universities Film and Video Council,Archives,51.51637417,-0.137304849
General Dental Council,Archives,51.51979279,-0.148754417
Wallace Collection,Archives,51.51716928,-0.152896625
Building Societies Association,Archives,51.51389915,-0.118583158
Commonwealth Parliamentary Association,Archives,51.49644332,-0.126390616
Royal National Institute for the Blind,Archives,51.51655711,-0.14090071
Finance and Leasing Association,Archives,51.51371733,-0.118460941
Transport for London (TfL) Corporate Archives,Archives,51.49942609,-0.133501017
Incorporated Council of Law Reporting for England and Wales,Archives,51.51440862,-0.111672912
Victim Support National Centre,Archives,51.52097037,-0.143603839
Archives of the British Psychoanalytical Society,Archives,51.52664589,-0.194378265
Conservative Christian Fellowship,Archives,51.49272186,-0.125923818
Association of Anaesthetists of Great Britain and Ireland,Archives,51.51939349,-0.145109412
Garrick Club Library,Archives,51.51130593,-0.126241768
Royal Geographical Society,Archives,51.50150309,-0.175244098
Westminster School Archive,Archives,51.49820881,-0.128263203
St Vincent de Paul Society (England & Wales) Ltd,Archives,51.51862244,-0.152664835
Football Association,Archives,51.51516082,-0.13112801
Royal College of Pathologists,Archives,51.50580651,-0.133268985
London Transport Museum,Archives,51.5121249,-0.121221618
Air League,Archives,51.49984047,-0.132461109
Imperial War Museum: Churchill War Rooms,Archives,51.50217907,-0.129377362
Royal College of Obstetricians and Gynaecologists,Archives,51.52680999,-0.162093274
Canning House Library,Archives,51.5003496,-0.154398373
Anglo-Chilean Society,Archives,51.52207935,-0.146629122
Society of St John the Evangelist,Archives,51.49775347,-0.128469161
Reform Club,Archives,51.50660955,-0.13343789
London Business School Library,Archives,51.52658256,-0.161352782
Madame Tussaud's Ltd,Archives,51.5229671,-0.155026018
Marylebone Cricket Club Library,Archives,51.52943247,-0.17281502
Japan Society,Archives,51.49808833,-0.136509229
Cayzer Family Archive,Archives,51.49918072,-0.139043655
Grenadier Guards Regimental Archives,Archives,51.4999858,-0.137642078
Scots Guards Regimental Headquarters,Archives,51.4999858,-0.137642078
The Welsh Regiment,Archives,51.4999858,-0.137642078
Duchy of Cornwall Office,Archives,51.49993301,-0.141116576
Conservative Party Research Department,Archives,51.49813388,-0.132588528
Institute for European Environmental Policy,Archives,51.50034483,-0.133074443
Association of Conservative Clubs Ltd,Archives,51.50100242,-0.130886294
Advertising Association,Archives,51.49670957,-0.135196816
Channel 4 Document Archive,Archives,51.4957021,-0.132918466
City of Westminster Archives Centre,Archives,51.49755544,-0.130148527
Westminster Baptist Church,Archives,51.49499663,-0.131535466
Royal Horticultural Society Lindley Libraries,Archives,51.49436107,-0.134543574
Royal College of Veterinary Surgeons Trust,Archives,51.49497311,-0.12780514
Mothers' Union,Archives,51.49665845,-0.128600476
Institution of Civil Engineers,Archives,51.50110324,-0.128749716
ChurchCare Library,Archives,51.497938,-0.129326046
The Society of The Faith,Archives,51.49757121,-0.12831815
Westminster Abbey Library and Muniment Room,Archives,51.4990043,-0.127394947
